Entry	Entry Name	Length	Cofactor	Catalytic activity	Binding site	Annotation	EC number	Protein existence	Gene Names (ordered locus)	Gene Names (primary)
O60200	MDM35_YEAST	86				5.0		Evidence at protein level	YKL053C-A	MDM35
O74700	TIM9_YEAST	87				5.0		Evidence at protein level	YEL020W-A	TIM9
O75012	MRP10_YEAST	95				5.0		Evidence at protein level	YDL045W-A	MRP10
O94742	SEM1_YEAST	89				5.0		Evidence at protein level	YDR363W-A	SEM1
P00044	CYC1_YEAST	109	COFACTOR: Name=heme c; Xref=ChEBI:CHEBI:61717; Evidence={ECO:0000269|PubMed:18390544}; Note=Binds 1 heme c group covalently per subunit. {ECO:0000269|PubMed:18390544};		BINDING 20; /ligand="heme c"; /ligand_id="ChEBI:CHEBI:61717"; /note="covalent"; /evidence="ECO:0000269|PubMed:11880631, ECO:0000269|PubMed:18390544, ECO:0007744|PDB:1KYO, ECO:0007744|PDB:3CX5"; BINDING 23; /ligand="heme c"; /ligand_id="ChEBI:CHEBI:61717"; /note="covalent"; /evidence="ECO:0000269|PubMed:11880631, ECO:0000269|PubMed:18390544, ECO:0007744|PDB:1KYO, ECO:0007744|PDB:3CX5"; BINDING 24; /ligand="heme c"; /ligand_id="ChEBI:CHEBI:61717"; /ligand_part="Fe"; /ligand_part_id="ChEBI:CHEBI:18248"; /note="axial binding residue"; /evidence="ECO:0000269|PubMed:11880631, ECO:0000269|PubMed:18390544, ECO:0007744|PDB:1KYO, ECO:0007744|PDB:3CX5"; BINDING 86; /ligand="heme c"; /ligand_id="ChEBI:CHEBI:61717"; /ligand_part="Fe"; /ligand_part_id="ChEBI:CHEBI:18248"; /note="axial binding residue"; /evidence="ECO:0000269|PubMed:11880631, ECO:0000269|PubMed:18390544, ECO:0007744|PDB:1KYO, ECO:0007744|PDB:3CX5"	5.0		Evidence at protein level	YJR048W	CYC1
P00127	QCR6_YEAST	147				5.0		Evidence at protein level	YFR033C	QCR6
P00128	QCR7_YEAST	127				5.0		Evidence at protein level	YDR529C	QCR7
P00163	CYB_YEAST	385	COFACTOR: Name=heme b; Xref=ChEBI:CHEBI:60344; Evidence={ECO:0000269|PubMed:10873857, ECO:0000269|PubMed:11880631, ECO:0000269|PubMed:18390544, ECO:0000269|PubMed:30598554}; Note=Binds 2 heme b groups non-covalently per subunit. {ECO:0000269|PubMed:10873857, ECO:0000269|PubMed:11880631, ECO:0000269|PubMed:18390544, ECO:0000269|PubMed:30598554};	CATALYTIC ACTIVITY: Reaction=a quinol + 2 Fe(III)-[cytochrome c](out) = a quinone + 2 Fe(II)-[cytochrome c](out) + 2 H(+)(out); Xref=Rhea:RHEA:11484, Rhea:RHEA-COMP:10350, Rhea:RHEA-COMP:14399, ChEBI:CHEBI:15378, ChEBI:CHEBI:24646, ChEBI:CHEBI:29033, ChEBI:CHEBI:29034, ChEBI:CHEBI:132124; EC=7.1.1.8; Evidence={ECO:0000269|PubMed:2551731, ECO:0000269|PubMed:8031140};	BINDING 16; /ligand="a ubiquinone"; /ligand_id="ChEBI:CHEBI:16389"; /evidence="ECO:0000269|PubMed:30598554"; BINDING 82; /ligand="heme b"; /ligand_id="ChEBI:CHEBI:60344"; /ligand_label="b562"; /ligand_part="Fe"; /ligand_part_id="ChEBI:CHEBI:18248"; /note="axial binding residue"; /evidence="ECO:0000269|PubMed:10873857, ECO:0000269|PubMed:11880631, ECO:0000269|PubMed:18390544, ECO:0000269|PubMed:30598554, ECO:0007744|PDB:1EZV, ECO:0007744|PDB:1KB9, ECO:0007744|PDB:1KYO, ECO:0007744|PDB:1P84, ECO:0007744|PDB:2IBZ, ECO:0007744|PDB:3CX5, ECO:0007744|PDB:3CXH, ECO:0007744|PDB:4PD4"; BINDING 96; /ligand="heme b"; /ligand_id="ChEBI:CHEBI:60344"; /ligand_label="b566"; /ligand_part="Fe"; /ligand_part_id="ChEBI:CHEBI:18248"; /note="axial binding residue"; /evidence="ECO:0000269|PubMed:10873857, ECO:0000269|PubMed:11880631, ECO:0000269|PubMed:18390544, ECO:0000269|PubMed:30598554, ECO:0007744|PDB:1EZV, ECO:0007744|PDB:1KB9, ECO:0007744|PDB:1KYO, ECO:0007744|PDB:1P84, ECO:0007744|PDB:2IBZ, ECO:0007744|PDB:3CX5, ECO:0007744|PDB:3CXH, ECO:0007744|PDB:4PD4"; BINDING 183; /ligand="heme b"; /ligand_id="ChEBI:CHEBI:60344"; /ligand_label="b562"; /ligand_part="Fe"; /ligand_part_id="ChEBI:CHEBI:18248"; /note="axial binding residue"; /evidence="ECO:0000269|PubMed:10873857, ECO:0000269|PubMed:11880631, ECO:0000269|PubMed:18390544, ECO:0000269|PubMed:30598554, ECO:0007744|PDB:1EZV, ECO:0007744|PDB:1KB9, ECO:0007744|PDB:1KYO, ECO:0007744|PDB:1P84, ECO:0007744|PDB:2IBZ, ECO:0007744|PDB:3CX5, ECO:0007744|PDB:3CXH, ECO:0007744|PDB:4PD4"; BINDING 197; /ligand="heme b"; /ligand_id="ChEBI:CHEBI:60344"; /ligand_label="b566"; /ligand_part="Fe"; /ligand_part_id="ChEBI:CHEBI:18248"; /note="axial binding residue"; /evidence="ECO:0000269|PubMed:10873857, ECO:0000269|PubMed:11880631, ECO:0000269|PubMed:18390544, ECO:0000269|PubMed:30598554, ECO:0007744|PDB:1EZV, ECO:0007744|PDB:1KB9, ECO:0007744|PDB:1KYO, ECO:0007744|PDB:1P84, ECO:0007744|PDB:2IBZ, ECO:0007744|PDB:3CX5, ECO:0007744|PDB:3CXH, ECO:0007744|PDB:4PD4"; BINDING 202; /ligand="a ubiquinone"; /ligand_id="ChEBI:CHEBI:16389"; /evidence="ECO:0000250|UniProtKB:P00157"	5.0	7.1.1.8	Evidence at protein level	Q0105	COB
P00175	CYB2_YEAST	591	COFACTOR: Name=FMN; Xref=ChEBI:CHEBI:58210; Evidence={ECO:0000269|PubMed:11914072, ECO:0000269|PubMed:2329585}; COFACTOR: Name=heme b; Xref=ChEBI:CHEBI:60344; Evidence={ECO:0000269|PubMed:11914072, ECO:0000269|PubMed:17563122, ECO:0000269|PubMed:2329585}; Note=Binds 1 heme b (iron(II)-protoporphyrin IX) group non-covalently per subunit. {ECO:0000269|PubMed:11914072};	CATALYTIC ACTIVITY: Reaction=(S)-lactate + 2 Fe(III)-[cytochrome c] = 2 Fe(II)-[cytochrome c] + 2 H(+) + pyruvate; Xref=Rhea:RHEA:19909, Rhea:RHEA-COMP:10350, Rhea:RHEA-COMP:14399, ChEBI:CHEBI:15361, ChEBI:CHEBI:15378, ChEBI:CHEBI:16651, ChEBI:CHEBI:29033, ChEBI:CHEBI:29034; EC=1.1.2.3; Evidence={ECO:0000269|PubMed:11914072, ECO:0000305|PubMed:3004948, ECO:0000305|PubMed:4593578}; PhysiologicalDirection=left-to-right; Xref=Rhea:RHEA:19910; Evidence={ECO:0000269|PubMed:3004948};	BINDING 123; /ligand="heme b"; /ligand_id="ChEBI:CHEBI:60344"; /ligand_part="Fe"; /ligand_part_id="ChEBI:CHEBI:18248"; /note="axial binding residue"; /evidence="ECO:0000269|PubMed:11914072, ECO:0000269|PubMed:2329585, ECO:0007744|PDB:1FCB, ECO:0007744|PDB:1KBI"; BINDING 146; /ligand="heme b"; /ligand_id="ChEBI:CHEBI:60344"; /ligand_part="Fe"; /ligand_part_id="ChEBI:CHEBI:18248"; /note="axial binding residue"; /evidence="ECO:0000269|PubMed:11914072, ECO:0000269|PubMed:2329585, ECO:0007744|PDB:1FCB, ECO:0007744|PDB:1KBI"; BINDING 177; /ligand="heme b"; /ligand_id="ChEBI:CHEBI:60344"; /evidence="ECO:0000269|PubMed:11914072, ECO:0000269|PubMed:2329585, ECO:0007744|PDB:1FCB, ECO:0007744|PDB:1KBI"; BINDING 219; /ligand="heme b"; /ligand_id="ChEBI:CHEBI:60344"; /evidence="ECO:0000269|PubMed:11914072, ECO:0007744|PDB:1KBI"; BINDING 223; /ligand="heme b"; /ligand_id="ChEBI:CHEBI:60344"; /evidence="ECO:0000269|PubMed:11914072, ECO:0000269|PubMed:2329585, ECO:0007744|PDB:1FCB, ECO:0007744|PDB:1KBI"; BINDING 223; /ligand="pyruvate"; /ligand_id="ChEBI:CHEBI:15361"; /evidence="ECO:0000269|PubMed:11914072, ECO:0000269|PubMed:2329585, ECO:0007744|PDB:1FCB, ECO:0007744|PDB:1KBI"; BINDING 275..278; /ligand="FMN"; /ligand_id="ChEBI:CHEBI:58210"; /evidence="ECO:0000269|PubMed:11914072, ECO:0000269|PubMed:2329585, ECO:0007744|PDB:1FCB, ECO:0007744|PDB:1KBI"; BINDING 308; /ligand="FMN"; /ligand_id="ChEBI:CHEBI:58210"; /evidence="ECO:0000269|PubMed:11914072, ECO:0000269|PubMed:2329585, ECO:0007744|PDB:1FCB, ECO:0007744|PDB:1KBI"; BINDING 332; /ligand="FMN"; /ligand_id="ChEBI:CHEBI:58210"; /evidence="ECO:0000269|PubMed:11914072, ECO:0000269|PubMed:2329585, ECO:0007744|PDB:1FCB, ECO:0007744|PDB:1KBI"; BINDING 334; /ligand="pyruvate"; /ligand_id="ChEBI:CHEBI:15361"; /evidence="ECO:0000269|PubMed:11914072, ECO:0000269|PubMed:2329585, ECO:0007744|PDB:1FCB, ECO:0007744|PDB:1KBI"; BINDING 360; /ligand="FMN"; /ligand_id="ChEBI:CHEBI:58210"; /evidence="ECO:0000269|PubMed:11914072, ECO:0000269|PubMed:2329585, ECO:0007744|PDB:1FCB, ECO:0007744|PDB:1KBI"; BINDING 376; /ligand="heme b"; /ligand_id="ChEBI:CHEBI:60344"; /evidence="ECO:0000269|PubMed:11914072, ECO:0007744|PDB:1KBI"; BINDING 429; /ligand="FMN"; /ligand_id="ChEBI:CHEBI:58210"; /evidence="ECO:0000269|PubMed:11914072, ECO:0000269|PubMed:2329585, ECO:0007744|PDB:1FCB, ECO:0007744|PDB:1KBI"; BINDING 453; /ligand="pyruvate"; /ligand_id="ChEBI:CHEBI:15361"; /evidence="ECO:0000269|PubMed:11914072, ECO:0000269|PubMed:2329585, ECO:0007744|PDB:1FCB, ECO:0007744|PDB:1KBI"; BINDING 456; /ligand="pyruvate"; /ligand_id="ChEBI:CHEBI:15361"; /evidence="ECO:0000269|PubMed:11914072, ECO:0000269|PubMed:2329585, ECO:0007744|PDB:1FCB, ECO:0007744|PDB:1KBI"; BINDING 489..493; /ligand="FMN"; /ligand_id="ChEBI:CHEBI:58210"; /evidence="ECO:0000269|PubMed:11914072, ECO:0000269|PubMed:2329585, ECO:0007744|PDB:1FCB, ECO:0007744|PDB:1KBI"; BINDING 512..513; /ligand="FMN"; /ligand_id="ChEBI:CHEBI:58210"; /evidence="ECO:0000269|PubMed:11914072, ECO:0000269|PubMed:2329585, ECO:0007744|PDB:1FCB, ECO:0007744|PDB:1KBI"	5.0	1.1.2.3	Evidence at protein level	YML054C	CYB2
P00330	ADH1_YEAST	348	COFACTOR: Name=Zn(2+); Xref=ChEBI:CHEBI:29105; Note=Binds 2 Zn(2+) ions per subunit.;	CATALYTIC ACTIVITY: Reaction=a primary alcohol + NAD(+) = an aldehyde + H(+) + NADH; Xref=Rhea:RHEA:10736, ChEBI:CHEBI:15378, ChEBI:CHEBI:15734, ChEBI:CHEBI:17478, ChEBI:CHEBI:57540, ChEBI:CHEBI:57945; EC=1.1.1.1; CATALYTIC ACTIVITY: Reaction=a secondary alcohol + NAD(+) = a ketone + H(+) + NADH; Xref=Rhea:RHEA:10740, ChEBI:CHEBI:15378, ChEBI:CHEBI:17087, ChEBI:CHEBI:35681, ChEBI:CHEBI:57540, ChEBI:CHEBI:57945; EC=1.1.1.1; Evidence={ECO:0000269|PubMed:6985717}; PhysiologicalDirection=left-to-right; Xref=Rhea:RHEA:10741; Evidence={ECO:0000305|PubMed:6985717};	BINDING 44; /ligand="Zn(2+)"; /ligand_id="ChEBI:CHEBI:29105"; /ligand_label="1"; /ligand_note="catalytic"; BINDING 67; /ligand="Zn(2+)"; /ligand_id="ChEBI:CHEBI:29105"; /ligand_label="1"; /ligand_note="catalytic"; BINDING 98; /ligand="Zn(2+)"; /ligand_id="ChEBI:CHEBI:29105"; /ligand_label="2"; BINDING 101; /ligand="Zn(2+)"; /ligand_id="ChEBI:CHEBI:29105"; /ligand_label="2"; BINDING 104; /ligand="Zn(2+)"; /ligand_id="ChEBI:CHEBI:29105"; /ligand_label="2"; BINDING 112; /ligand="Zn(2+)"; /ligand_id="ChEBI:CHEBI:29105"; /ligand_label="2"; BINDING 154; /ligand="Zn(2+)"; /ligand_id="ChEBI:CHEBI:29105"; /ligand_label="1"; /ligand_note="catalytic"; BINDING 178..184; /ligand="NAD(+)"; /ligand_id="ChEBI:CHEBI:57540"; /evidence="ECO:0000250"; BINDING 202; /ligand="NAD(+)"; /ligand_id="ChEBI:CHEBI:57540"; /evidence="ECO:0000250"; BINDING 207; /ligand="NAD(+)"; /ligand_id="ChEBI:CHEBI:57540"; /evidence="ECO:0000250"; BINDING 269..271; /ligand="NAD(+)"; /ligand_id="ChEBI:CHEBI:57540"; /evidence="ECO:0000250"; BINDING 341; /ligand="NAD(+)"; /ligand_id="ChEBI:CHEBI:57540"; /evidence="ECO:0000250"	5.0	1.1.1.1	Evidence at protein level	YOL086C	ADH1
P00331	ADH2_YEAST	348	COFACTOR: Name=Zn(2+); Xref=ChEBI:CHEBI:29105; Evidence={ECO:0000250}; Note=Binds 2 Zn(2+) ions per subunit. {ECO:0000250};	CATALYTIC ACTIVITY: Reaction=a primary alcohol + NAD(+) = an aldehyde + H(+) + NADH; Xref=Rhea:RHEA:10736, ChEBI:CHEBI:15378, ChEBI:CHEBI:15734, ChEBI:CHEBI:17478, ChEBI:CHEBI:57540, ChEBI:CHEBI:57945; EC=1.1.1.1; CATALYTIC ACTIVITY: Reaction=a secondary alcohol + NAD(+) = a ketone + H(+) + NADH; Xref=Rhea:RHEA:10740, ChEBI:CHEBI:15378, ChEBI:CHEBI:17087, ChEBI:CHEBI:35681, ChEBI:CHEBI:57540, ChEBI:CHEBI:57945; EC=1.1.1.1;	BINDING 44; /ligand="Zn(2+)"; /ligand_id="ChEBI:CHEBI:29105"; /ligand_label="1"; /ligand_note="catalytic"; BINDING 67; /ligand="Zn(2+)"; /ligand_id="ChEBI:CHEBI:29105"; /ligand_label="1"; /ligand_note="catalytic"; BINDING 98; /ligand="Zn(2+)"; /ligand_id="ChEBI:CHEBI:29105"; /ligand_label="2"; BINDING 101; /ligand="Zn(2+)"; /ligand_id="ChEBI:CHEBI:29105"; /ligand_label="2"; BINDING 104; /ligand="Zn(2+)"; /ligand_id="ChEBI:CHEBI:29105"; /ligand_label="2"; BINDING 112; /ligand="Zn(2+)"; /ligand_id="ChEBI:CHEBI:29105"; /ligand_label="2"; BINDING 154; /ligand="Zn(2+)"; /ligand_id="ChEBI:CHEBI:29105"; /ligand_label="1"; /ligand_note="catalytic"; BINDING 178..184; /ligand="NAD(+)"; /ligand_id="ChEBI:CHEBI:57540"; /evidence="ECO:0000250"; BINDING 202; /ligand="NAD(+)"; /ligand_id="ChEBI:CHEBI:57540"; /evidence="ECO:0000250"; BINDING 207; /ligand="NAD(+)"; /ligand_id="ChEBI:CHEBI:57540"; /evidence="ECO:0000250"; BINDING 269..271; /ligand="NAD(+)"; /ligand_id="ChEBI:CHEBI:57540"; /evidence="ECO:0000250"; BINDING 341; /ligand="NAD(+)"; /ligand_id="ChEBI:CHEBI:57540"; /evidence="ECO:0000250"	5.0	1.1.1.1	Evidence at protein level	YMR303C	ADH2
P00358	G3P2_YEAST	332		CATALYTIC ACTIVITY: Reaction=D-glyceraldehyde 3-phosphate + NAD(+) + phosphate = (2R)-3-phospho-glyceroyl phosphate + H(+) + NADH; Xref=Rhea:RHEA:10300, ChEBI:CHEBI:15378, ChEBI:CHEBI:43474, ChEBI:CHEBI:57540, ChEBI:CHEBI:57604, ChEBI:CHEBI:57945, ChEBI:CHEBI:59776; EC=1.2.1.12; Evidence={ECO:0000255|PROSITE-ProRule:PRU10009};	BINDING 11..12; /ligand="NAD(+)"; /ligand_id="ChEBI:CHEBI:57540"; /evidence="ECO:0000250"; BINDING 33; /ligand="NAD(+)"; /ligand_id="ChEBI:CHEBI:57540"; /evidence="ECO:0000250"; BINDING 78; /ligand="NAD(+)"; /ligand_id="ChEBI:CHEBI:57540"; /evidence="ECO:0000250"; BINDING 149..151; /ligand="D-glyceraldehyde 3-phosphate"; /ligand_id="ChEBI:CHEBI:59776"; /evidence="ECO:0000250"; BINDING 180; /ligand="D-glyceraldehyde 3-phosphate"; /ligand_id="ChEBI:CHEBI:59776"; /evidence="ECO:0000250"; BINDING 209..210; /ligand="D-glyceraldehyde 3-phosphate"; /ligand_id="ChEBI:CHEBI:59776"; /evidence="ECO:0000250"; BINDING 232; /ligand="D-glyceraldehyde 3-phosphate"; /ligand_id="ChEBI:CHEBI:59776"; /evidence="ECO:0000250"; BINDING 314; /ligand="NAD(+)"; /ligand_id="ChEBI:CHEBI:57540"; /evidence="ECO:0000250"	5.0	1.2.1.12	Evidence at protein level	YJR009C	TDH2
P00359	G3P3_YEAST	332		CATALYTIC ACTIVITY: Reaction=D-glyceraldehyde 3-phosphate + NAD(+) + phosphate = (2R)-3-phospho-glyceroyl phosphate + H(+) + NADH; Xref=Rhea:RHEA:10300, ChEBI:CHEBI:15378, ChEBI:CHEBI:43474, ChEBI:CHEBI:57540, ChEBI:CHEBI:57604, ChEBI:CHEBI:57945, ChEBI:CHEBI:59776; EC=1.2.1.12; Evidence={ECO:0000255|PROSITE-ProRule:PRU10009};	BINDING 11..12; /ligand="NAD(+)"; /ligand_id="ChEBI:CHEBI:57540"; /evidence="ECO:0000250"; BINDING 33; /ligand="NAD(+)"; /ligand_id="ChEBI:CHEBI:57540"; /evidence="ECO:0000250"; BINDING 78; /ligand="NAD(+)"; /ligand_id="ChEBI:CHEBI:57540"; /evidence="ECO:0000250"; BINDING 149..151; /ligand="D-glyceraldehyde 3-phosphate"; /ligand_id="ChEBI:CHEBI:59776"; /evidence="ECO:0000250"; BINDING 180; /ligand="D-glyceraldehyde 3-phosphate"; /ligand_id="ChEBI:CHEBI:59776"; /evidence="ECO:0000250"; BINDING 209..210; /ligand="D-glyceraldehyde 3-phosphate"; /ligand_id="ChEBI:CHEBI:59776"; /evidence="ECO:0000250"; BINDING 232; /ligand="D-glyceraldehyde 3-phosphate"; /ligand_id="ChEBI:CHEBI:59776"; /evidence="ECO:0000250"; BINDING 314; /ligand="NAD(+)"; /ligand_id="ChEBI:CHEBI:57540"; /evidence="ECO:0000250"	5.0	1.2.1.12	Evidence at protein level	YGR192C	TDH3
